SceneName, moon
Background, white, #fff
Light,light,null,ambient,#fbb,100,510,510,1000,1
Viewer,viewer,0,0,0,0,180,0
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,0.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,2
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,3.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,6.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,8
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,9.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,11
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,12.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,14
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,15.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,17
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,18.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,20
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,21.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,23
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,24.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,26
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,27.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,29
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,30.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,0.5,32
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,2,0.5
Shape, block, null, cube, TRUE, TRUE, 1,1,1,1,0,2,2
